[ 3223.777475] [pid: 2590], CPUburst : 923069, rt_priority:10
[ 3223.785532] [pid: 2591], CPUburst : 8056809, rt_priority:10
[ 3223.798111] [pid: 2592], CPUburst : 12578252, rt_priority:10
[ 3223.809794] [pid: 2591], CPUburst : 11681954, rt_priority:10
[ 3223.821551] [pid: 2592], CPUburst : 11758746, rt_priority:10
[ 3223.833579] [pid: 2591], CPUburst : 12027992, rt_priority:10
[ 3223.846151] [pid: 2592], CPUburst : 12573549, rt_priority:10
[ 3223.857867] [pid: 2591], CPUburst : 11716619, rt_priority:10
[ 3223.869727] [pid: 2592], CPUburst : 11859535, rt_priority:10
[ 3223.882299] [pid: 2591], CPUburst : 12571453, rt_priority:10
[ 3223.893594] [pid: 2592], CPUburst : 11293728, rt_priority:10
[ 3223.905995] [pid: 2591], CPUburst : 12403943, rt_priority:10
[ 3223.917563] [pid: 2592], CPUburst : 11566838, rt_priority:10
[ 3223.930433] [pid: 2591], CPUburst : 12869437, rt_priority:10
[ 3223.942200] [pid: 2592], CPUburst : 11768528, rt_priority:10
[ 3223.955531] [pid: 2591], CPUburst : 13329486, rt_priority:10
[ 3223.965653] [pid: 2592], CPUburst : 10121369, rt_priority:10
[ 3223.978365] [pid: 2591], CPUburst : 12700909, rt_priority:10
[ 3223.990060] [pid: 2592], CPUburst : 11709169, rt_priority:10
[ 3224.001701] [pid: 2591], CPUburst : 11640721, rt_priority:10
[ 3224.014043] [pid: 2592], CPUburst : 12339285, rt_priority:10
[ 3224.025788] [pid: 2591], CPUburst : 11743997, rt_priority:10
[ 3224.037567] [pid: 2592], CPUburst : 11779988, rt_priority:10
[ 3224.050222] [pid: 2591], CPUburst : 12636726, rt_priority:10
[ 3224.061899] [pid: 2592], CPUburst : 11697880, rt_priority:10
[ 3224.073675] [pid: 2591], CPUburst : 11770315, rt_priority:10
[ 3224.086306] [pid: 2592], CPUburst : 12636472, rt_priority:10
[ 3224.098104] [pid: 2591], CPUburst : 11798122, rt_priority:10
[ 3224.109557] [pid: 2592], CPUburst : 11433814, rt_priority:10
[ 3224.122120] [pid: 2591], CPUburst : 12582376, rt_priority:10
[ 3224.133595] [pid: 2592], CPUburst : 11472153, rt_priority:10
[ 3224.145787] [pid: 2591], CPUburst : 12189107, rt_priority:10
[ 3224.158084] [pid: 2592], CPUburst : 12302697, rt_priority:10
[ 3224.170094] [pid: 2591], CPUburst : 12006584, rt_priority:10
[ 3224.182666] [pid: 2592], CPUburst : 12573421, rt_priority:10
[ 3224.193747] [pid: 2591], CPUburst : 11082959, rt_priority:10
[ 3224.205818] [pid: 2592], CPUburst : 12070326, rt_priority:10
[ 3224.217782] [pid: 2591], CPUburst : 11963289, rt_priority:10
[ 3224.229591] [pid: 2592], CPUburst : 11810140, rt_priority:10
