[ 3105.802708] [pid: 2579], CPUburst : 1057595, rt_priority:10
[ 3105.813967] [pid: 2580], CPUburst : 11258878, rt_priority:10
[ 3105.826230] [pid: 2581], CPUburst : 12262935, rt_priority:10
[ 3105.837587] [pid: 2580], CPUburst : 11353464, rt_priority:10
[ 3105.849551] [pid: 2581], CPUburst : 11968164, rt_priority:10
[ 3105.861687] [pid: 2580], CPUburst : 12138433, rt_priority:10
[ 3105.873607] [pid: 2581], CPUburst : 11919393, rt_priority:10
[ 3105.885598] [pid: 2580], CPUburst : 11990869, rt_priority:10
[ 3105.897521] [pid: 2581], CPUburst : 11924191, rt_priority:10
[ 3105.910126] [pid: 2580], CPUburst : 12602866, rt_priority:10
[ 3105.921871] [pid: 2581], CPUburst : 11738336, rt_priority:10
[ 3105.933547] [pid: 2580], CPUburst : 11683406, rt_priority:10
[ 3105.945670] [pid: 2581], CPUburst : 12122264, rt_priority:10
[ 3105.958010] [pid: 2580], CPUburst : 12341177, rt_priority:10
[ 3105.969711] [pid: 2581], CPUburst : 11700522, rt_priority:10
[ 3105.981530] [pid: 2580], CPUburst : 11820668, rt_priority:10
[ 3105.994075] [pid: 2581], CPUburst : 12543206, rt_priority:10
[ 3106.005946] [pid: 2580], CPUburst : 11871369, rt_priority:10
[ 3106.017634] [pid: 2581], CPUburst : 11689023, rt_priority:10
[ 3106.029895] [pid: 2580], CPUburst : 12260455, rt_priority:10
[ 3106.042023] [pid: 2581], CPUburst : 12127541, rt_priority:10
[ 3106.053650] [pid: 2580], CPUburst : 11616954, rt_priority:10
[ 3106.065786] [pid: 2581], CPUburst : 12144482, rt_priority:10
[ 3106.078126] [pid: 2580], CPUburst : 12342557, rt_priority:10
[ 3106.089938] [pid: 2581], CPUburst : 11808533, rt_priority:10
[ 3106.101599] [pid: 2580], CPUburst : 11664296, rt_priority:10
[ 3106.114249] [pid: 2581], CPUburst : 12649003, rt_priority:10
[ 3106.125961] [pid: 2580], CPUburst : 11712347, rt_priority:10
[ 3106.137709] [pid: 2581], CPUburst : 11748296, rt_priority:10
[ 3106.149611] [pid: 2580], CPUburst : 11897937, rt_priority:10
[ 3106.161558] [pid: 2581], CPUburst : 11949472, rt_priority:10
[ 3106.173748] [pid: 2580], CPUburst : 12190085, rt_priority:10
[ 3106.185523] [pid: 2581], CPUburst : 11777727, rt_priority:10
[ 3106.198176] [pid: 2580], CPUburst : 12651293, rt_priority:10
[ 3106.209895] [pid: 2581], CPUburst : 11717545, rt_priority:10
[ 3106.221920] [pid: 2580], CPUburst : 12026854, rt_priority:10
[ 3106.233580] [pid: 2581], CPUburst : 11657530, rt_priority:10
[ 3106.246344] [pid: 2580], CPUburst : 12766246, rt_priority:10
[ 3106.257572] [pid: 2581], CPUburst : 11208691, rt_priority:10
[ 3106.270048] [pid: 2580], CPUburst : 12479003, rt_priority:10
[ 3106.282170] [pid: 2581], CPUburst : 12138497, rt_priority:10
[ 3106.293572] [pid: 2580], CPUburst : 11400437, rt_priority:10
[ 3106.306226] [pid: 2581], CPUburst : 12654143, rt_priority:10
[ 3106.317702] [pid: 2580], CPUburst : 11477541, rt_priority:10
[ 3106.330389] [pid: 2581], CPUburst : 12686936, rt_priority:10
[ 3106.342005] [pid: 2580], CPUburst : 11597680, rt_priority:10
[ 3106.354030] [pid: 2581], CPUburst : 12043536, rt_priority:10
[ 3106.365756] [pid: 2580], CPUburst : 11723595, rt_priority:10
[ 3106.378064] [pid: 2581], CPUburst : 12308905, rt_priority:10
[ 3106.390337] [pid: 2580], CPUburst : 12273081, rt_priority:10
[ 3106.401930] [pid: 2581], CPUburst : 11594441, rt_priority:10
[ 3106.414094] [pid: 2580], CPUburst : 12138609, rt_priority:10
[ 3106.426812] [pid: 2581], CPUburst : 12743278, rt_priority:10
[ 3106.437597] [pid: 2580], CPUburst : 10784087, rt_priority:10
[ 3106.449877] [pid: 2581], CPUburst : 12280000, rt_priority:10
[ 3106.461573] [pid: 2580], CPUburst : 11696065, rt_priority:10
[ 3106.473577] [pid: 2581], CPUburst : 12003375, rt_priority:10
[ 3106.485604] [pid: 2580], CPUburst : 12027135, rt_priority:10
[ 3106.497729] [pid: 2581], CPUburst : 12125795, rt_priority:10
[ 3106.509564] [pid: 2580], CPUburst : 11834648, rt_priority:10
[ 3106.521529] [pid: 2581], CPUburst : 11964610, rt_priority:10
[ 3106.533544] [pid: 2580], CPUburst : 12015876, rt_priority:10
[ 3106.545975] [pid: 2581], CPUburst : 12431610, rt_priority:10
[ 3106.557589] [pid: 2580], CPUburst : 11592536, rt_priority:10
[ 3106.570457] [pid: 2581], CPUburst : 12883283, rt_priority:10
[ 3106.581616] [pid: 2580], CPUburst : 11163653, rt_priority:10
[ 3106.594334] [pid: 2581], CPUburst : 12717929, rt_priority:10
[ 3106.605677] [pid: 2580], CPUburst : 11343737, rt_priority:10
[ 3106.618431] [pid: 2581], CPUburst : 12750471, rt_priority:10
