[ 3465.416219] [pid: 2609], CPUburst : 692243, rt_priority:10
[ 3465.514243] [pid: 2610], CPUburst : 98024518, rt_priority:10
[ 3465.613748] [pid: 2611], CPUburst : 99504925, rt_priority:10
[ 3465.713609] [pid: 2610], CPUburst : 99861719, rt_priority:10
[ 3465.813867] [pid: 2611], CPUburst : 100257430, rt_priority:10
[ 3465.913745] [pid: 2610], CPUburst : 99864373, rt_priority:10
[ 3466.014372] [pid: 2611], CPUburst : 100640622, rt_priority:10
[ 3466.113900] [pid: 2610], CPUburst : 99528664, rt_priority:10
[ 3466.213830] [pid: 2611], CPUburst : 99929751, rt_priority:10
[ 3466.314112] [pid: 2610], CPUburst : 100280918, rt_priority:10
[ 3466.413967] [pid: 2611], CPUburst : 99856025, rt_priority:10
[ 3466.513826] [pid: 2610], CPUburst : 99858217, rt_priority:10
[ 3466.613748] [pid: 2611], CPUburst : 99922805, rt_priority:10
[ 3466.714421] [pid: 2610], CPUburst : 100673037, rt_priority:10
[ 3466.813646] [pid: 2611], CPUburst : 99198439, rt_priority:10
[ 3466.914437] [pid: 2610], CPUburst : 100817106, rt_priority:10
[ 3467.013644] [pid: 2611], CPUburst : 99206823, rt_priority:10
[ 3467.113971] [pid: 2610], CPUburst : 100326969, rt_priority:10
[ 3467.214139] [pid: 2611], CPUburst : 100168050, rt_priority:10
[ 3467.314202] [pid: 2610], CPUburst : 100063662, rt_priority:10
[ 3467.414282] [pid: 2611], CPUburst : 100078602, rt_priority:10
[ 3467.513759] [pid: 2610], CPUburst : 99477984, rt_priority:10
[ 3467.613678] [pid: 2611], CPUburst : 99918629, rt_priority:10
[ 3467.713671] [pid: 2610], CPUburst : 99993393, rt_priority:10
[ 3467.813778] [pid: 2611], CPUburst : 100106062, rt_priority:10
[ 3467.913602] [pid: 2610], CPUburst : 99825432, rt_priority:10
[ 3468.013721] [pid: 2611], CPUburst : 100119032, rt_priority:10
[ 3468.113719] [pid: 2610], CPUburst : 99997057, rt_priority:10
[ 3468.213664] [pid: 2611], CPUburst : 99926893, rt_priority:10
[ 3468.313623] [pid: 2610], CPUburst : 99977226, rt_priority:10
[ 3468.414228] [pid: 2611], CPUburst : 100604832, rt_priority:10
[ 3468.514314] [pid: 2610], CPUburst : 100085619, rt_priority:10
[ 3468.613645] [pid: 2611], CPUburst : 99331725, rt_priority:10
[ 3468.713841] [pid: 2610], CPUburst : 100195540, rt_priority:10
[ 3468.749891] [pid: 2611], CPUburst : 36044897, rt_priority:10
[ 3468.813944] [pid: 2611], CPUburst : 64045319, rt_priority:10
[ 3468.913799] [pid: 2610], CPUburst : 99856166, rt_priority:10
[ 3469.014142] [pid: 2611], CPUburst : 100343124, rt_priority:10
[ 3469.113982] [pid: 2610], CPUburst : 99839546, rt_priority:10
[ 3469.213878] [pid: 2611], CPUburst : 99896698, rt_priority:10
[ 3469.318424] [pid: 2610], CPUburst : 104545842, rt_priority:10
[ 3469.417829] [pid: 2611], CPUburst : 99404890, rt_priority:10
[ 3469.518419] [pid: 2610], CPUburst : 100589054, rt_priority:10
[ 3469.618368] [pid: 2611], CPUburst : 99949031, rt_priority:10
[ 3469.717569] [pid: 2610], CPUburst : 99201883, rt_priority:10
[ 3469.818292] [pid: 2611], CPUburst : 100721614, rt_priority:10
[ 3469.917678] [pid: 2610], CPUburst : 99387576, rt_priority:10
[ 3470.018147] [pid: 2611], CPUburst : 100468758, rt_priority:10
[ 3470.117824] [pid: 2610], CPUburst : 99676843, rt_priority:10
[ 3470.218403] [pid: 2611], CPUburst : 100579418, rt_priority:10
[ 3470.317739] [pid: 2610], CPUburst : 99335477, rt_priority:10
[ 3470.418010] [pid: 2611], CPUburst : 100257598, rt_priority:10
[ 3470.517585] [pid: 2610], CPUburst : 99589017, rt_priority:10
[ 3470.618269] [pid: 2611], CPUburst : 100668429, rt_priority:10
[ 3470.718121] [pid: 2610], CPUburst : 99849437, rt_priority:10
[ 3470.817702] [pid: 2611], CPUburst : 99599379, rt_priority:10
[ 3470.918328] [pid: 2610], CPUburst : 100612466, rt_priority:10
[ 3471.018342] [pid: 2611], CPUburst : 100026777, rt_priority:10
[ 3471.118348] [pid: 2610], CPUburst : 99992867, rt_priority:10
[ 3471.218285] [pid: 2611], CPUburst : 99950407, rt_priority:10
[ 3471.317868] [pid: 2610], CPUburst : 99583373, rt_priority:10
[ 3471.417840] [pid: 2611], CPUburst : 99970860, rt_priority:10
[ 3471.517684] [pid: 2610], CPUburst : 99844868, rt_priority:10
[ 3471.617834] [pid: 2611], CPUburst : 100150418, rt_priority:10
[ 3471.717696] [pid: 2610], CPUburst : 99860953, rt_priority:10
[ 3471.818623] [pid: 2611], CPUburst : 100927527, rt_priority:10
[ 3471.917567] [pid: 2610], CPUburst : 98943828, rt_priority:10
[ 3472.018477] [pid: 2611], CPUburst : 100910503, rt_priority:10
[ 3472.118292] [pid: 2610], CPUburst : 99799204, rt_priority:10
[ 3472.222301] [pid: 2611], CPUburst : 104023767, rt_priority:10
[ 3472.322504] [pid: 2610], CPUburst : 100187593, rt_priority:10
[ 3472.421992] [pid: 2611], CPUburst : 99491112, rt_priority:10
[ 3472.521944] [pid: 2610], CPUburst : 99965118, rt_priority:10
[ 3472.622492] [pid: 2611], CPUburst : 100547193, rt_priority:10
[ 3472.721776] [pid: 2610], CPUburst : 99284116, rt_priority:10
[ 3472.749581] [pid: 2611], CPUburst : 27797220, rt_priority:10
[ 3472.821569] [pid: 2611], CPUburst : 71979527, rt_priority:10
[ 3472.921540] [pid: 2610], CPUburst : 99970950, rt_priority:10
[ 3473.021999] [pid: 2611], CPUburst : 100458782, rt_priority:10
[ 3473.121945] [pid: 2610], CPUburst : 99946151, rt_priority:10
[ 3473.221907] [pid: 2611], CPUburst : 99962478, rt_priority:10
[ 3473.322042] [pid: 2610], CPUburst : 100134321, rt_priority:10
[ 3473.422459] [pid: 2611], CPUburst : 100416238, rt_priority:10
[ 3473.522315] [pid: 2610], CPUburst : 99857520, rt_priority:10
