[ 2965.343075] [pid: 2564], CPUburst : 938659, rt_priority:10
[ 2965.353913] [pid: 2565], CPUburst : 10839186, rt_priority:10
[ 2965.365744] [pid: 2566], CPUburst : 11829897, rt_priority:10
[ 2965.377530] [pid: 2565], CPUburst : 11786968, rt_priority:10
[ 2965.390154] [pid: 2566], CPUburst : 12621861, rt_priority:10
[ 2965.401947] [pid: 2565], CPUburst : 11782369, rt_priority:10
[ 2965.414514] [pid: 2566], CPUburst : 12579427, rt_priority:10
[ 2965.426249] [pid: 2565], CPUburst : 11734757, rt_priority:10
[ 2965.438859] [pid: 2566], CPUburst : 12611892, rt_priority:10
[ 2965.450654] [pid: 2565], CPUburst : 11781177, rt_priority:10
[ 2965.462306] [pid: 2566], CPUburst : 11664977, rt_priority:10
[ 2965.474120] [pid: 2565], CPUburst : 11803175, rt_priority:10
[ 2965.485547] [pid: 2566], CPUburst : 11435174, rt_priority:10
[ 2965.497605] [pid: 2565], CPUburst : 12060682, rt_priority:10
[ 2965.510097] [pid: 2566], CPUburst : 12490106, rt_priority:10
[ 2965.522904] [pid: 2565], CPUburst : 12808517, rt_priority:10
[ 2965.533657] [pid: 2566], CPUburst : 10753756, rt_priority:10
[ 2965.546395] [pid: 2565], CPUburst : 12738557, rt_priority:10
[ 2965.558341] [pid: 2566], CPUburst : 11945261, rt_priority:10
[ 2965.570017] [pid: 2565], CPUburst : 11676872, rt_priority:10
[ 2965.581742] [pid: 2566], CPUburst : 11724010, rt_priority:10
[ 2965.594359] [pid: 2565], CPUburst : 12614431, rt_priority:10
[ 2965.605665] [pid: 2566], CPUburst : 11307803, rt_priority:10
[ 2965.617881] [pid: 2565], CPUburst : 12196953, rt_priority:10
[ 2965.629618] [pid: 2566], CPUburst : 11755440, rt_priority:10
[ 2965.642353] [pid: 2565], CPUburst : 12736222, rt_priority:10
[ 2965.654082] [pid: 2566], CPUburst : 11728233, rt_priority:10
[ 2965.665753] [pid: 2565], CPUburst : 11671076, rt_priority:10
[ 2965.677646] [pid: 2566], CPUburst : 11893967, rt_priority:10
[ 2965.689868] [pid: 2565], CPUburst : 12220396, rt_priority:10
[ 2965.701805] [pid: 2566], CPUburst : 11939812, rt_priority:10
[ 2965.714164] [pid: 2565], CPUburst : 12356621, rt_priority:10
[ 2965.726068] [pid: 2566], CPUburst : 11903573, rt_priority:10
[ 2965.737704] [pid: 2565], CPUburst : 11638286, rt_priority:10
[ 2965.749715] [pid: 2566], CPUburst : 12010534, rt_priority:10
[ 2965.762150] [pid: 2565], CPUburst : 12434641, rt_priority:10
[ 2965.773876] [pid: 2566], CPUburst : 11726955, rt_priority:10
[ 2965.785537] [pid: 2565], CPUburst : 11661345, rt_priority:10
[ 2965.798279] [pid: 2566], CPUburst : 12741406, rt_priority:10
[ 2965.809572] [pid: 2565], CPUburst : 11293172, rt_priority:10
[ 2965.821612] [pid: 2566], CPUburst : 12037198, rt_priority:10
[ 2965.833676] [pid: 2565], CPUburst : 12050160, rt_priority:10
[ 2965.845653] [pid: 2566], CPUburst : 11992084, rt_priority:10
[ 2965.857640] [pid: 2565], CPUburst : 11987771, rt_priority:10
[ 2965.869868] [pid: 2566], CPUburst : 12216285, rt_priority:10
[ 2965.881562] [pid: 2565], CPUburst : 11707258, rt_priority:10
[ 2965.894243] [pid: 2566], CPUburst : 12680443, rt_priority:10
[ 2965.905573] [pid: 2565], CPUburst : 11328964, rt_priority:10
[ 2965.917739] [pid: 2566], CPUburst : 12167142, rt_priority:10
[ 2965.930269] [pid: 2565], CPUburst : 12527941, rt_priority:10
[ 2965.941732] [pid: 2566], CPUburst : 11463227, rt_priority:10
[ 2965.953759] [pid: 2565], CPUburst : 12013679, rt_priority:10
[ 2965.965638] [pid: 2566], CPUburst : 11894211, rt_priority:10
[ 2965.978184] [pid: 2565], CPUburst : 12544322, rt_priority:10
[ 2965.989869] [pid: 2566], CPUburst : 11685823, rt_priority:10
[ 2966.001606] [pid: 2565], CPUburst : 11737681, rt_priority:10
[ 2966.013591] [pid: 2566], CPUburst : 11983104, rt_priority:10
[ 2966.025860] [pid: 2565], CPUburst : 12270808, rt_priority:10
