[ 3377.005049] [pid: 2603], CPUburst : 974179, rt_priority:10
[ 3377.101986] [pid: 2604], CPUburst : 96938171, rt_priority:10
[ 3377.201949] [pid: 2605], CPUburst : 99962947, rt_priority:10
[ 3377.302087] [pid: 2604], CPUburst : 100138404, rt_priority:10
[ 3377.401791] [pid: 2605], CPUburst : 99704918, rt_priority:10
[ 3377.501890] [pid: 2604], CPUburst : 100098181, rt_priority:10
[ 3377.601626] [pid: 2605], CPUburst : 99735824, rt_priority:10
[ 3377.702046] [pid: 2604], CPUburst : 100420102, rt_priority:10
[ 3377.801788] [pid: 2605], CPUburst : 99742803, rt_priority:10
[ 3377.901998] [pid: 2604], CPUburst : 100209243, rt_priority:10
[ 3378.002144] [pid: 2605], CPUburst : 100145502, rt_priority:10
[ 3378.102265] [pid: 2604], CPUburst : 100121305, rt_priority:10
[ 3378.202220] [pid: 2605], CPUburst : 99954174, rt_priority:10
[ 3378.302021] [pid: 2604], CPUburst : 99802210, rt_priority:10
[ 3378.401652] [pid: 2605], CPUburst : 99631040, rt_priority:10
[ 3378.501997] [pid: 2604], CPUburst : 100344505, rt_priority:10
[ 3378.601615] [pid: 2605], CPUburst : 99617945, rt_priority:10
[ 3378.701840] [pid: 2604], CPUburst : 100225133, rt_priority:10
[ 3378.802437] [pid: 2605], CPUburst : 100597755, rt_priority:10
[ 3378.902116] [pid: 2604], CPUburst : 99677883, rt_priority:10
[ 3379.002308] [pid: 2605], CPUburst : 100192167, rt_priority:10
[ 3379.102441] [pid: 2604], CPUburst : 100132261, rt_priority:10
[ 3379.202024] [pid: 2605], CPUburst : 99583796, rt_priority:10
[ 3379.302438] [pid: 2604], CPUburst : 100413196, rt_priority:10
[ 3379.401605] [pid: 2605], CPUburst : 99168488, rt_priority:10
[ 3379.502131] [pid: 2604], CPUburst : 100525208, rt_priority:10
[ 3379.602046] [pid: 2605], CPUburst : 99904462, rt_priority:10
[ 3379.701963] [pid: 2604], CPUburst : 99928295, rt_priority:10
