[ 3538.377625] [pid: 2617], CPUburst : 99616009, rt_priority:10
[ 3538.477683] [pid: 2616], CPUburst : 100056757, rt_priority:10
[ 3538.577739] [pid: 2617], CPUburst : 100057153, rt_priority:10
[ 3538.677824] [pid: 2616], CPUburst : 100084480, rt_priority:10
[ 3538.778241] [pid: 2617], CPUburst : 100417283, rt_priority:10
[ 3538.877822] [pid: 2616], CPUburst : 99580009, rt_priority:10
[ 3538.977553] [pid: 2617], CPUburst : 99731756, rt_priority:10
[ 3539.078233] [pid: 2616], CPUburst : 100679563, rt_priority:10
[ 3539.178453] [pid: 2617], CPUburst : 100220088, rt_priority:10
[ 3539.277985] [pid: 2616], CPUburst : 99531806, rt_priority:10
[ 3539.378121] [pid: 2617], CPUburst : 100137415, rt_priority:10
[ 3539.477604] [pid: 2616], CPUburst : 99481360, rt_priority:10
[ 3539.577969] [pid: 2617], CPUburst : 100365123, rt_priority:10
[ 3539.678258] [pid: 2616], CPUburst : 100289843, rt_priority:10
[ 3539.777574] [pid: 2617], CPUburst : 99315320, rt_priority:10
[ 3539.878105] [pid: 2616], CPUburst : 100518500, rt_priority:10
[ 3539.978036] [pid: 2617], CPUburst : 99941261, rt_priority:10
[ 3540.078060] [pid: 2616], CPUburst : 100024224, rt_priority:10
[ 3540.177523] [pid: 2617], CPUburst : 99465746, rt_priority:10
[ 3540.277645] [pid: 2616], CPUburst : 100122016, rt_priority:10
[ 3540.377815] [pid: 2617], CPUburst : 100169657, rt_priority:10
[ 3540.477749] [pid: 2616], CPUburst : 99934158, rt_priority:10
[ 3540.578029] [pid: 2617], CPUburst : 100253792, rt_priority:10
[ 3540.677546] [pid: 2616], CPUburst : 99542767, rt_priority:10
[ 3540.749685] [pid: 2617], CPUburst : 72128374, rt_priority:10
[ 3540.778000] [pid: 2617], CPUburst : 28309534, rt_priority:10
[ 3540.878119] [pid: 2616], CPUburst : 100118866, rt_priority:10
[ 3540.977631] [pid: 2617], CPUburst : 99512371, rt_priority:10
[ 3541.078301] [pid: 2616], CPUburst : 100641317, rt_priority:10
[ 3541.177781] [pid: 2617], CPUburst : 99507987, rt_priority:10
[ 3541.278330] [pid: 2616], CPUburst : 100549140, rt_priority:10
[ 3541.378024] [pid: 2617], CPUburst : 99693841, rt_priority:10
[ 3541.477835] [pid: 2616], CPUburst : 99802541, rt_priority:10
[ 3541.578402] [pid: 2617], CPUburst : 100576415, rt_priority:10
[ 3541.677648] [pid: 2616], CPUburst : 99244688, rt_priority:10
[ 3541.777578] [pid: 2617], CPUburst : 99929791, rt_priority:10
[ 3541.877642] [pid: 2616], CPUburst : 100046953, rt_priority:10
[ 3541.977580] [pid: 2617], CPUburst : 99956084, rt_priority:10
[ 3542.077622] [pid: 2616], CPUburst : 100041630, rt_priority:10
[ 3542.178190] [pid: 2617], CPUburst : 100568552, rt_priority:10
[ 3542.277759] [pid: 2616], CPUburst : 99568453, rt_priority:10
[ 3542.377867] [pid: 2617], CPUburst : 100108068, rt_priority:10
[ 3542.478345] [pid: 2616], CPUburst : 100478126, rt_priority:10
[ 3542.577531] [pid: 2617], CPUburst : 99185472, rt_priority:10
[ 3542.677994] [pid: 2616], CPUburst : 100463218, rt_priority:10
[ 3542.778433] [pid: 2617], CPUburst : 100439449, rt_priority:10
[ 3542.877565] [pid: 2616], CPUburst : 99131690, rt_priority:10
[ 3542.978106] [pid: 2617], CPUburst : 100528915, rt_priority:10
[ 3543.077704] [pid: 2616], CPUburst : 99609436, rt_priority:10
[ 3543.178254] [pid: 2617], CPUburst : 100550769, rt_priority:10
[ 3543.278333] [pid: 2616], CPUburst : 100049564, rt_priority:10
[ 3543.377676] [pid: 2617], CPUburst : 99373266, rt_priority:10
[ 3543.478140] [pid: 2616], CPUburst : 100463201, rt_priority:10
[ 3543.577552] [pid: 2617], CPUburst : 99411092, rt_priority:10
[ 3543.678379] [pid: 2616], CPUburst : 100827497, rt_priority:10
[ 3543.777861] [pid: 2617], CPUburst : 99482488, rt_priority:10
[ 3543.897557] [pid: 2616], CPUburst : 119695489, rt_priority:10
[ 3544.002109] [pid: 2617], CPUburst : 104552875, rt_priority:10
[ 3544.102375] [pid: 2616], CPUburst : 100265494, rt_priority:10
[ 3544.202065] [pid: 2617], CPUburst : 99684162, rt_priority:10
[ 3544.301892] [pid: 2616], CPUburst : 99832401, rt_priority:10
[ 3544.402455] [pid: 2617], CPUburst : 100537569, rt_priority:10
[ 3544.502068] [pid: 2616], CPUburst : 99638874, rt_priority:10
[ 3544.602024] [pid: 2617], CPUburst : 99956669, rt_priority:10
[ 3544.701656] [pid: 2616], CPUburst : 99631008, rt_priority:10
[ 3544.749718] [pid: 2617], CPUburst : 48036403, rt_priority:10
[ 3544.801966] [pid: 2617], CPUburst : 52218604, rt_priority:10
[ 3544.902154] [pid: 2616], CPUburst : 100179258, rt_priority:10
[ 3545.001843] [pid: 2617], CPUburst : 99712874, rt_priority:10
[ 3545.101592] [pid: 2616], CPUburst : 99749673, rt_priority:10
[ 3545.202088] [pid: 2617], CPUburst : 100495666, rt_priority:10
[ 3545.302378] [pid: 2616], CPUburst : 100289132, rt_priority:10
[ 3545.402215] [pid: 2617], CPUburst : 99835945, rt_priority:10
[ 3545.501754] [pid: 2616], CPUburst : 99541636, rt_priority:10
[ 3545.601645] [pid: 2617], CPUburst : 99890178, rt_priority:10
[ 3545.702038] [pid: 2616], CPUburst : 100392944, rt_priority:10
[ 3545.801766] [pid: 2617], CPUburst : 99727880, rt_priority:10
[ 3545.901893] [pid: 2616], CPUburst : 100126771, rt_priority:10
[ 3546.001620] [pid: 2617], CPUburst : 99727840, rt_priority:10
[ 3546.102229] [pid: 2616], CPUburst : 100609263, rt_priority:10
[ 3546.201553] [pid: 2617], CPUburst : 99321696, rt_priority:10
[ 3546.302109] [pid: 2616], CPUburst : 100556999, rt_priority:10
[ 3546.401639] [pid: 2617], CPUburst : 99511444, rt_priority:10
[ 3546.501848] [pid: 2616], CPUburst : 100227920, rt_priority:10
[ 3546.602096] [pid: 2617], CPUburst : 100248153, rt_priority:10
[ 3546.701950] [pid: 2616], CPUburst : 99854327, rt_priority:10
[ 3546.802294] [pid: 2617], CPUburst : 100344342, rt_priority:10
[ 3546.902077] [pid: 2616], CPUburst : 99781914, rt_priority:10
[ 3547.002008] [pid: 2617], CPUburst : 99931925, rt_priority:10
[ 3547.102456] [pid: 2616], CPUburst : 100448534, rt_priority:10
[ 3547.201618] [pid: 2617], CPUburst : 99161777, rt_priority:10
[ 3547.302121] [pid: 2616], CPUburst : 100502784, rt_priority:10
[ 3547.401826] [pid: 2617], CPUburst : 99677792, rt_priority:10
[ 3547.501803] [pid: 2616], CPUburst : 100003378, rt_priority:10
[ 3547.601999] [pid: 2617], CPUburst : 100196140, rt_priority:10
[ 3547.702296] [pid: 2616], CPUburst : 100297126, rt_priority:10
[ 3547.801630] [pid: 2617], CPUburst : 99333300, rt_priority:10
[ 3547.902205] [pid: 2616], CPUburst : 100576379, rt_priority:10
[ 3548.002348] [pid: 2617], CPUburst : 100129013, rt_priority:10
[ 3548.101903] [pid: 2616], CPUburst : 99568589, rt_priority:10
[ 3548.201729] [pid: 2617], CPUburst : 99826240, rt_priority:10
[ 3548.302159] [pid: 2616], CPUburst : 100430727, rt_priority:10
[ 3548.401674] [pid: 2617], CPUburst : 99514499, rt_priority:10
[ 3548.502458] [pid: 2616], CPUburst : 100784326, rt_priority:10
[ 3548.601731] [pid: 2617], CPUburst : 99272158, rt_priority:10
[ 3548.701975] [pid: 2616], CPUburst : 100244200, rt_priority:10
[ 3548.749785] [pid: 2617], CPUburst : 47804529, rt_priority:10
[ 3548.802224] [pid: 2617], CPUburst : 52430716, rt_priority:10
[ 3548.901942] [pid: 2616], CPUburst : 99719455, rt_priority:10
[ 3549.002099] [pid: 2617], CPUburst : 100156418, rt_priority:10
[ 3549.101947] [pid: 2616], CPUburst : 99846495, rt_priority:10
[ 3549.202077] [pid: 2617], CPUburst : 100101994, rt_priority:10
[ 3549.301633] [pid: 2616], CPUburst : 99584638, rt_priority:10
[ 3549.401625] [pid: 2617], CPUburst : 99993530, rt_priority:10
[ 3549.501565] [pid: 2616], CPUburst : 99939043, rt_priority:10
[ 3549.602363] [pid: 2617], CPUburst : 100784410, rt_priority:10
[ 3549.701627] [pid: 2616], CPUburst : 99278123, rt_priority:10
[ 3549.802040] [pid: 2617], CPUburst : 100413080, rt_priority:10
[ 3549.902229] [pid: 2616], CPUburst : 100188050, rt_priority:10
[ 3550.002461] [pid: 2617], CPUburst : 100232584, rt_priority:10
[ 3550.101926] [pid: 2616], CPUburst : 99462530, rt_priority:10
[ 3550.201770] [pid: 2617], CPUburst : 99844842, rt_priority:10
[ 3550.301989] [pid: 2616], CPUburst : 100220294, rt_priority:10
[ 3550.401579] [pid: 2617], CPUburst : 99590353, rt_priority:10
[ 3550.502184] [pid: 2616], CPUburst : 100605324, rt_priority:10
[ 3550.602209] [pid: 2617], CPUburst : 100024724, rt_priority:10
[ 3550.701970] [pid: 2616], CPUburst : 99761405, rt_priority:10
[ 3550.801926] [pid: 2617], CPUburst : 99954548, rt_priority:10
[ 3550.902339] [pid: 2616], CPUburst : 100413672, rt_priority:10
[ 3551.002182] [pid: 2617], CPUburst : 99842785, rt_priority:10
[ 3551.101887] [pid: 2616], CPUburst : 99706511, rt_priority:10
[ 3551.202245] [pid: 2617], CPUburst : 100357382, rt_priority:10
[ 3551.301618] [pid: 2616], CPUburst : 99372918, rt_priority:10
[ 3551.402040] [pid: 2617], CPUburst : 100422162, rt_priority:10
[ 3551.501729] [pid: 2616], CPUburst : 99688026, rt_priority:10
[ 3551.601716] [pid: 2617], CPUburst : 99987469, rt_priority:10
[ 3551.701676] [pid: 2616], CPUburst : 99960830, rt_priority:10
[ 3551.802028] [pid: 2617], CPUburst : 100349881, rt_priority:10
[ 3551.902468] [pid: 2616], CPUburst : 100440915, rt_priority:10
[ 3552.002519] [pid: 2617], CPUburst : 100051708, rt_priority:10
[ 3552.101691] [pid: 2616], CPUburst : 99171729, rt_priority:10
[ 3552.201565] [pid: 2617], CPUburst : 99860491, rt_priority:10
[ 3552.317551] [pid: 2616], CPUburst : 115999411, rt_priority:10
[ 3552.417618] [pid: 2617], CPUburst : 100067938, rt_priority:10
[ 3552.517657] [pid: 2616], CPUburst : 100038531, rt_priority:10
[ 3552.617962] [pid: 2617], CPUburst : 100304731, rt_priority:10
[ 3552.717633] [pid: 2616], CPUburst : 99671048, rt_priority:10
[ 3552.749722] [pid: 2617], CPUburst : 32014508, rt_priority:10
[ 3552.817949] [pid: 2617], CPUburst : 68218633, rt_priority:10
[ 3552.918238] [pid: 2616], CPUburst : 100263509, rt_priority:10
[ 3553.017998] [pid: 2617], CPUburst : 99786510, rt_priority:10
[ 3553.117748] [pid: 2616], CPUburst : 99750021, rt_priority:10
[ 3553.217734] [pid: 2617], CPUburst : 99985124, rt_priority:10
[ 3553.318192] [pid: 2616], CPUburst : 100458330, rt_priority:10
[ 3553.417931] [pid: 2617], CPUburst : 99739089, rt_priority:10
